Incident energy;
Incident energy;
Incident energy;σ(E)
37.37985;126.326
37.43131;113.2096
37.48278;102.4778
37.53424;93.56016
37.5857;86.05191
37.63716;79.66069
37.71436;71.70205
37.79156;65.23838
37.86876;59.90123
37.94595;55.432
38.02315;51.64394
38.10035;48.40261
38.17755;45.60269
38.25474;43.15686
38.32551;41.16975
38.39627;39.39123
38.5378;36.34979
38.67933;33.85083
38.82085;31.76525
38.96238;30.00075
39.1039;28.49049
39.24543;27.1843
39.38695;26.04456
39.51562;25.12974
39.64428;24.31582
39.77294;23.57866
39.9016;22.90883
40.15892;21.74363
40.41624;20.76575
40.67356;19.93377
40.93088;19.2172
41.1882;18.59338
41.44552;18.04535
41.65137;17.65517
42.02449;17.03088
42.39761;16.49275
42.77073;16.02584
42.95729;15.8124
43.00393;15.76359
43.05057;15.71971
43.09721;15.68616
43.12053;15.67559
43.14384;15.67019
43.18244;15.67254
43.22103;15.68357
43.25481;15.69005
43.28858;15.6821
43.30807;15.66756
43.30947;15.6662
43.31454;15.66094
43.31961;15.65512
43.32974;15.64188
43.35407;15.60195
43.3784;15.553
43.40724;15.48876
43.4514;15.39177
43.47348;15.34843
43.49555;15.3098
43.51763;15.27579
43.53971;15.24585
43.58386;15.19499
43.67217;15.11068
43.76047;15.03354
44.1137;14.74745
44.46693;14.48677
44.64355;14.36384
44.73186;14.30484
44.82016;14.25051
44.849;14.23539
44.87783;14.22345
44.90667;14.21715
44.92109;14.21726
44.9355;14.22031
44.94992;14.22694
44.96434;14.23783
44.97876;14.25359
44.99317;14.27472
45.00759;14.30156
45.02201;14.3341
45.05084;14.41436
45.09049;14.54215
45.11032;14.60202
45.13014;14.65063
45.14366;14.67419
45.15718;14.68808
45.17603;14.68928
45.17743;14.68848
45.18191;14.68511
45.18638;14.6805
45.19533;14.66755
45.21858;14.61228
45.23436;14.55955
45.25013;14.49779
45.28168;14.36001
45.29496;14.3012
45.31655;14.21018
45.33814;14.12888
45.35973;14.05981
45.38131;14.0034
45.4029;13.95854
45.42448;13.92335
45.44607;13.89561
45.46765;13.8733
45.48924;13.85473
45.51083;13.83863
45.554;13.81058
45.64034;13.76102
45.98572;13.57825
46.3311;13.40895
46.50379;13.32795
46.59014;13.28996
46.63331;13.27315
46.67648;13.2599
46.70305;13.25452
46.72962;13.25181
46.75619;13.25182
46.78275;13.25402
46.82925;13.25897
46.8525;13.2592
46.87574;13.2561
46.89746;13.24932
46.90027;13.24814
46.90989;13.24359
46.9195;13.23824
46.94743;13.21853
46.97535;13.19403
46.99662;13.1736
47.03252;13.13889
47.06842;13.10722
47.10432;13.08035
47.14022;13.0581
47.17612;13.03927
47.21202;13.02255
47.28382;12.99203
47.57102;12.87797
48.14541;12.66507
48.7198;12.46736
49.007;12.37233
49.1506;12.3271
49.2224;12.30512
49.29419;12.28503
49.33674;12.27631
49.35802;12.27402
49.37929;12.27398
49.40057;12.27704
49.42184;12.28416
49.44311;12.29625
49.46438;12.314
49.48034;12.33118
49.4963;12.35152
49.52821;12.39949
49.56012;12.45066
49.59203;12.49396
49.60799;12.50889
49.62394;12.5176
49.6402;12.51917
49.64582;12.5179
49.66243;12.50868
49.68655;12.48148
49.7033;12.45437
49.72004;12.4222
49.75353;12.34967
49.79104;12.26918
49.80979;12.23344
49.82854;12.20199
49.84998;12.17159
49.87141;12.14687
49.89284;12.1271
49.91427;12.11133
49.93571;12.0986
49.95714;12.08807
50.0;12.07099
50.04762;12.05506
50.09523;12.0403
50.19046;12.01184
50.38091;11.9565
50.76181;11.84961
51.52362;11.6446
52.28543;11.44538
53.04724;11.25159
54.29312;10.93873
54.91606;10.78123
55.53899;10.61966
56.16193;10.45561
56.78487;10.28353
57.40781;10.10265
57.71928;10.00953
57.79715;9.987493
57.83608;9.978305
57.87501;9.971935
57.91395;9.970106
57.93342;9.971398
57.95288;9.974306
57.99181;9.984634
58.03074;9.998615
58.06943;10.01091
58.08877;10.0144
58.10811;10.0151
58.12878;10.01212
58.13721;10.00971
58.1537;10.00296
58.18513;9.983077
58.20739;9.964393
58.22965;9.943165
58.27416;9.898142
58.30559;9.868113
58.33701;9.841704
58.36843;9.819435
58.39985;9.800922
58.4267;9.787447
58.45354;9.775523
58.50722;9.754402
58.61458;9.715862
58.8293;9.639525
59.25874;9.479744
59.68818;9.308003
60.11762;9.121749
60.54707;8.91775
60.97651;8.692277
61.19123;8.570302
61.40595;8.44092
61.62067;8.303582
61.83539;8.157718
62.02655;8.019431
62.2177;7.874135
62.40886;7.719006
62.60001;7.553739
62.79117;7.378469
62.98232;7.194805
63.0779;7.104147
63.12569;7.065119
63.17347;7.04173
63.19737;7.042195
63.22126;7.056114
63.24516;7.088783
63.26905;7.146082
63.29295;7.233808
63.31684;7.356261
63.34073;7.514951
63.36462;7.706909
63.41961;8.217967
63.44711;8.457235
63.4746;8.641066
63.47984;8.667166
63.49228;8.715527
63.50471;8.74321
63.52111;8.745982
63.52251;8.744394
63.52814;8.735095
63.53096;8.728689
63.53962;8.701786
63.54827;8.66425
63.56276;8.578716
63.5845;8.403227
63.60624;8.183566
63.64971;7.678073
63.68835;7.238266
63.71492;6.975577
63.74149;6.756285
63.76806;6.581148
63.79462;6.445558
63.82119;6.341971
63.84776;6.262402
63.90089;6.147963
63.95403;6.062744
64.00716;5.988365
64.11342;5.850477
64.21969;5.722014
64.32596;5.60678
64.43223;5.512653
64.53849;5.452048
64.61819;5.439934
64.69789;5.469531
64.77759;5.558084
64.85729;5.730339
64.93699;6.022312
65.01669;6.488467
65.05654;6.812159
65.09639;7.215617
65.11632;7.453311
65.13624;7.718685
65.15617;8.015431
65.17609;8.347172
65.19904;8.778843
65.21051;9.016782
65.22198;9.271009
65.23346;9.543013
65.24493;9.833692
65.2564;10.14477
65.26787;10.4779
65.28055;10.87402
65.29323;11.30204
65.30168;11.60647
65.31497;12.11907
65.32252;12.43009
65.33006;12.75609
65.33761;13.09888
65.34515;13.45858
65.353;13.85265
65.36085;14.26806
65.3687;14.70625
65.37655;15.1688
65.3844;15.65746
65.39225;16.17418
65.40795;17.30051
65.42124;18.36316
65.43452;19.54061
65.4478;20.8516
65.46108;22.31832
65.47437;23.9697
65.48765;25.83802
65.50093;27.96864
65.51421;30.41806
65.5275;33.26137
65.54078;36.58835
65.55407;40.52581
65.56071;42.76839
65.56735;45.22499
65.574;47.92666
65.58064;50.89561
65.58728;54.16998
65.59392;57.78841
65.60056;61.79442
65.6072;66.23686
65.61384;71.17045
65.62048;76.65633
65.62713;82.77229
65.63377;89.57567
65.64041;97.15885
65.64705;105.6141
65.6537;115.0579
65.66034;125.5728
65.66698;137.2933
65.67362;150.3507
65.68027;164.9097
65.68691;181.0793
65.69355;199.0431
65.70019;218.9744
65.70683;241.0568
65.71347;265.4828
65.72011;292.4537
65.72675;322.1781
65.7334;354.9223
65.74004;390.807
65.75332;473.024
65.7666;570.63
65.77988;685.2874
65.79317;818.5662
65.80645;971.4053
65.81973;1144.578
65.83301;1338.169
65.85475;1697.139
65.87649;2101.005
65.91996;2978.626
65.94653;3494.71
65.97309;3931.864
65.98879;4132.398
66.00449;4278.968
66.0302;4386.707
